DISPLAY_FIRST_LAST,SCHOOL,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,PIE,current_avg_salary,age,year_played
Deandre Ayton,Arizona,83.0,250.0,2,22,Center,Suns,2018,1,1,14.5,1.6,11.0,0.129,13024661.666666666,22,2
Dwayne Bacon,Florida State,78.0,221.0,3,8,Guard-Forward,Magic,2017,2,40,9.9,1.1,2.8,0.06,1751428.5,25,3
Marvin Bagley III,Duke,83.0,235.0,2,35,Forward,Kings,2018,1,2,13.9,0.9,7.4,0.095,11679354.333333334,22,2
Lonzo Ball,UCLA,78.0,190.0,3,2,Guard,Pelicans,2017,1,2,14.2,5.6,4.2,0.099,12681859.0,23,3
Mo Bamba,Texas-Austin,84.0,231.0,2,5,Center,Magic,2018,1,6,4.6,0.3,3.9,0.126,7878162.0,23,2
Harrison Barnes,North Carolina,80.0,225.0,8,40,Forward,Kings,2012,1,7,16.3,3.7,6.5,0.111,20284091.0,29,8
RJ Barrett,Duke,78.0,214.0,1,9,Forward-Guard,Knicks,2019,1,3,17.3,3.0,6.1,0.101,10514487.0,21,1
Will Barton,Memphis,78.0,181.0,8,5,Guard,Nuggets,2012,2,40,13.0,3.2,4.1,0.081,14196428.0,30,8
Nicolas Batum,Le Mans,80.0,230.0,12,33,Guard-Forward,Clippers,2008,1,25,8.6,2.3,4.7,0.086,1620564.0,32,12
Aron Baynes,Washington State,82.0,260.0,8,46,Center-Forward,Raptors,Undrafted,Undrafted,Undrafted,6.1,0.9,5.5,0.067,7175000.0,34,8
Kent Bazemore,Old Dominion,76.0,195.0,8,26,Guard-Forward,Warriors,Undrafted,Undrafted,Undrafted,6.1,1.6,2.9,0.077,1620564.0,32,8
Darius Bazley,Princeton HS (OH),80.0,208.0,1,7,Forward-Guard,Thunder,2019,1,23,11.9,1.5,7.5,0.087,3845466.0,21,1
Bradley Beal,Florida,75.0,207.0,8,3,Guard,Wizards,2012,1,3,31.8,4.6,5.1,0.154,32966036.666666668,28,8
Malik Beasley,Florida State,76.0,187.0,4,5,Guard,Timberwolves,2016,1,19,20.5,2.5,4.6,0.109,15000000.0,24,4
DeAndre' Bembry,St. Joseph's (PA),77.0,210.0,4,95,Guard-Forward,Raptors,2016,1,21,4.6,1.9,2.3,0.068,1857078.0,27,4
Davis Bertans,Baskonia,82.0,225.0,4,42,Forward,Wizards,2011,2,42,10.8,0.9,2.9,0.064,16000000.0,28,4
Patrick Beverley,Arkansas,73.0,180.0,8,21,Guard,Clippers,2009,2,42,8.3,2.1,3.7,0.072,13827160.0,32,8
Khem Birch,UNLV,81.0,233.0,3,24,Center,Magic,Undrafted,Undrafted,Undrafted,5.5,1.0,5.2,0.084,3000000.0,28,3
Goga Bitadze,Mega Basket,83.0,250.0,1,88,Center-Forward,Pacers,2019,1,18,3.8,0.3,2.2,0.071,4395818.75,21,1
Bismack Biyombo,Baloncesto Fuenlabrada,80.0,255.0,9,8,Center,Hornets,2011,1,7,5.5,1.3,5.5,0.067,3500000.0,28,9
